Regulator	Score	N_modules	N_targets	Modules	Targets
asparagine_HI	3.2349341052405016	1.0	12.0	13	SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
5_methoxysalicylic_acid_HI	3.0251479936188903	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
asymmetric_dimethylarginine_HI	2.9619506423115376	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
uridine_5'_monophosphate_HI	2.9056805112649187	1.0	12.0	13	SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
n_acetylserotonin_HI	2.8955854509346817	1.0	12.0	13	SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
docosanamide_C18	2.809081812535272	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
2_acetamido_3__4_methoxyphenyl_propanoic_acid_HI	2.7793783290685865	1.0	28.0	3	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1
alpha_ethylaminohexanophenone_HI	2.762868847817748	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
_s__homostachydrine_HI	2.7452067983763264	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
threonine_C18	2.6507026044370803	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
2_hydroxycinnamic_acid_HI	2.5622958997725203	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
3,5_di_tert_butylbenzaldehyde_C18	2.51327877897048	1.0	17.0	1	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4
isocytosine_HI	2.470987105176337	1.0	31.0	4	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
phenylacetylglycine_HI	2.3656412898713657	1.0	28.0	3	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1
nicotinic_acid_C18	2.321125681127077	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
panthenol_C18	2.276945212834448	1.0	13.0	10	SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
dodecylamine_C18	2.244547318247592	1.0	10.0	21	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
