Regulator	Targets
l_phenylalanine_C18	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
l_arginine_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
np_003553_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
2_oxoglutaric_acid_C18	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
n_methyl_d_aspartic_acid__nmda__HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
dl_lysine_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1|PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
caprolactam_C18	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
l_gulonolactone_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
n_methyl_2_pyrrolidone_C18	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
np_002855_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
l_tyrosine_HI	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1|ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
1_[4_hydroxy_5__hydroxymethyl_tetrahydrofuran_2_yl]pyrimidine_2,4_1h,3h__dione_C18	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
caffeine_HI	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
laurolactam_HI	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
