Module,N_genes,N_PPIs_observed,N_PPIs_expected,Fold_enrichment,P_value,PPI_density,FDR
25,29,12,3.7186821805565806,3.2269496067028625,0.00045358603692112357,0.029556650246305417,0.0010482877297732633
51,19,7,1.5662429873772792,4.469293753532911,0.001098479549319394,0.04093567251461988,0.0024835189810699346
78,35,14,5.449792850815679,2.5689049810222784,0.0014617893148832811,0.023529411764705882,0.0032345976329332176
46,66,34,19.646732210083414,1.7305676911781782,0.0019434914724252826,0.015850815850815853,0.004210898190254778
40,21,7,1.9234563002878866,3.639282056448228,0.0034903927172122836,0.03333333333333333,0.00740818046102199
36,29,10,3.7186821805565806,2.6891246722523854,0.004795761280254568,0.024630541871921183,0.0099751834629295
49,16,5,1.0991178858787924,4.549102570560285,0.005149317868758591,0.041666666666666664,0.010500569771586147
72,13,4,0.7144266258212151,5.598895471458811,0.005862297188418945,0.05128205128205128,0.01172459437683789
30,39,14,6.787052945301543,2.062750963169036,0.009716385323397234,0.018893387314439947,0.01906611459685495
77,18,5,1.4013753044954602,3.5679235847531645,0.013835466270103137,0.032679738562091505,0.0266460831868653
62,96,56,41.76647966339411,1.3407881260598735,0.01980387280911031,0.012280701754385965,0.03744732312995404
2,65,28,19.051376688565735,1.4697100612579381,0.03148968724248436,0.013461538461538462,0.05848084773604239
48,46,16,9.479891765704584,1.6877829827006272,0.032262910304485096,0.015458937198067632,0.05886566090642894
92,13,3,0.7144266258212151,4.199171603594109,0.03517875587770879,0.038461538461538464,0.06307914847037438
98,17,4,1.245666937329298,3.2111312262778484,0.0371156166364168,0.029411764705882353,0.06542413779978555
27,31,8,4.25908180778032,1.878339125908763,0.06716660120075778,0.017204301075268817,0.11642210874798016
61,11,2,0.5037623643611132,3.9701258797617025,0.0906455850258522,0.03636363636363636,0.15454329250309226
90,16,3,1.0991178858787924,2.7294615423361708,0.09856590376412869,0.025,0.1653363547011191
6,65,25,19.051376688565735,1.312241126123159,0.10795988213918016,0.01201923076923077,0.1782194879757895
67,12,2,0.6045148372333358,3.3084382331347526,0.12278313879094956,0.030303030303030304,0.19952260053529303
53,22,4,2.115801930316675,1.8905361332198587,0.16357208492607106,0.017316017316017316,0.2617153358817137
15,50,14,11.220161751679338,1.2477538479251067,0.2386763657139857,0.011428571428571429,0.3760960914280987
