Regulator	Target	Score	Overall_rank
ZNF791	59	0.30961390437521846	839
ZNF317	59	0.29240491224895004	887
ZNF383	59	0.27412087562658205	943
ZNF254	60	2.9860798654035285	63
ZNF814	60	1.13126443502905	232
ZNF8	60	1.0127709402844691	247
ZNF253	60	0.9138860944503022	276
ZNF431	60	0.8991897037870145	280
ZNF112	60	0.7753062420154376	337
ZNF493	60	0.6721244140591671	395
ZNF43	60	0.613921733108685	434
ZNF527	60	0.49075930145080193	552
ZNF439	60	0.4422648511869747	605
ZNF623	60	0.3099278252124688	836
ZNF549	60	0.2792998431088735	926
ZNF202	60	0.27410569528068074	944
VDR	61	8.877227101828602	7
CEBPD	61	0.590090260608058	458
CEBPB	61	0.4179322093719036	629
FOXJ1	62	10.525034183705756	4
ZNF396	62	0.40226841666527074	651
HIVEP3	62	0.39067310192664867	668
RORB	62	0.3710061285293507	697
ZNF165	62	0.29035338655525805	895
POU6F2	62	0.27800181458446316	931
NFKB2	63	2.5963828088750684	75
ZNF678	63	1.8747847032915905	122
NR3C2	63	1.5758966212110506	154
RELB	63	1.361109253354745	186
VDR	63	0.9319106125276689	272
ZNF821	63	0.5369801862246681	509
STAT5A	63	0.4597854398870062	587
ZSCAN16	63	0.35915347424274663	723
ZKSCAN2	63	0.30823859408985615	845
ZNF677	63	0.3058350151110756	852
IKZF1	64	6.433022757353352	14
CEBPA	64	2.9095599544427504	67
FLI1	64	1.8188854400902341	128
SPI1	64	0.825871175247025	312
IRF5	64	0.3482531869200544	738
STAT6	64	0.3441743950328188	749
LYL1	64	0.3341199943530276	782
DBX2	65	1.0863777501301148	239
ZIC5	65	1.0063233607375281	252
TFCP2L1	65	0.8359881857745048	310
ZNF552	65	0.47944376992946086	565
ZFHX4	65	0.40735165354518	643
SIM2	65	0.3580950627572278	724
ZNF281	66	2.5686375671948025	77
RBPJ	66	1.6868829627914281	143
SKIL	66	1.0125773000826852	248
ZEB2	66	0.8641471463555059	294
ZBTB34	66	0.6399743299043411	414
ZNF124	66	0.47745463618375544	567
ZNF492	66	0.3135347189785532	829
MSX1	67	1.4648759241110016	170
IKZF2	67	1.4383832425506764	176
ZHX1	67	0.9900559132233089	259
PRDM4	67	0.3618884786681661	716
CEBPA	68	4.073023355793093	39
TAL1	68	1.7776569280205712	130
ZBTB17	68	0.5545901864357258	491
MLXIPL	68	0.5518025229156728	497
HHEX	68	0.5291002066704588	514
KLF15	68	0.504856831099946	539
SNAI3	68	0.41408322903697264	636
KLF7	68	0.39183116620918457	667
IRF8	68	0.3054182456145132	853
FOXO4	68	0.27442288461346015	941
IKZF1	69	3.5638328627878852	45
IKZF3	69	2.1761513944816095	99
GFI1	69	0.8533638711727515	304
ESR1	69	0.7354466485065473	357
POU3F2	69	0.34592725286839576	744
IRF4	69	0.3408280366770115	763
POU3F1	70	3.230338531112339	56
BATF3	70	0.6501641189322663	410
MYRF	71	4.586156526005063	31
SOX10	71	4.17700204295933	35
TFEB	71	0.6123927309002265	436
MYT1L	71	0.2844804811555464	912
ZNF25	72	3.302233375633137	51
ZNF248	72	3.0417599215047413	61
ZNF37A	72	1.2877038554669185	197
ZNF572	72	0.8583931415598154	300
ZNF32	72	0.5990168124306481	448
ZNF485	72	0.5516016920237252	499
ZNF394	72	0.3837544232241303	680
SLC2A4RG	72	0.3191352497508495	814
SOX10	72	0.2938106558593489	883
DBX2	73	1.8873278817336179	121
ZEB2	73	1.5026177504168126	161
RORB	73	0.8615224718124982	297
ZNF469	73	0.7996247203498831	327
SOX4	73	0.35772819229240793	725
ZNF324B	73	0.29471762705202487	881
SOX10	73	0.28368979577046827	914
IKZF3	74	14.793549525582886	2
MYBL2	75	5.771664985466359	19
E2F8	75	2.6815661940849695	72
FOXM1	75	2.481517925233531	83
E2F2	75	2.3985598770462286	87
E2F1	75	0.4367156721111004	610
RFX4	76	1.3662024409877092	185
SOX13	76	1.2084331060357139	213
SALL2	76	0.8673097426293506	290
AR	76	0.6327013462864809	421
PRDM16	76	0.5530766551061046	492
RFX8	76	0.5465440220421761	503
HOMEZ	76	0.4823031224514496	560
ZNF33A	76	0.2830042106749555	917
ZNF704	77	2.0368372926844676	105
PURG	77	1.6915317076656844	142
ZEB1	77	1.1193106752807493	233
ASCL1	77	0.7273420143596456	362
SOX8	77	0.688977866505116	382
STOX2	77	0.5819335484323946	463
CSRNP3	77	0.5049636745871267	538
STAT6	77	0.3885901260426444	671
PATZ1	77	0.30293382584631584	858
ZNF74	78	2.127499039567115	103
SOX4	78	2.0232869091868757	107
SOX8	78	1.8576872758127112	124
ZNF821	78	1.838950370976494	127
ZNF250	78	0.5848220268812084	461
ASCL1	78	0.5735507289993595	471
RREB1	78	0.519931568279022	524
SOX11	78	0.5081189349043395	535
ZNF300	78	0.3275291094354492	800
MYT1	78	0.28267910431967264	918
STAT1	79	3.5072395890358745	47
BATF2	79	2.4245454333669243	85
IRF7	79	1.7472691440217394	132
SP110	79	1.7067705233203154	140
SKIDA1	80	0.5940882843391108	455
ZNF713	80	0.5807638628324223	465
TBX1	80	0.470098560146225	577
OSR1	80	0.4680642485289856	581
KLF13	80	0.43541633618847847	614
ZNF107	80	0.41015602270904794	640
NR3C2	80	0.39970845833373686	654
PLAG1	80	0.37396847497711944	694
ZNF521	80	0.37006291335292	699
ZNF567	80	0.3308294909541489	790
