GeneA,GeneB
HRAS,RALGDS
LY96,TLR4
ELOB,CUL5
HUWE1,MCL1
CDK6,CCND1
SMAD1,SMURF1
PPP2CA,PPP2R5C
IGF1,IGFBP3
BRCC3,ABRAXAS1
OSBP,VAPA
APPL1,APPL2
RAD21,SMC3
FADD,TNFRSF10A
PSMC2,PSMD5
SMARCB1,SMARCC1
CENPA,HJURP
FANCA,FANCM
TAB1,TAB2
IL22,IL22RA1
ATG12,ATG5
LMNA,LMNB1
AKT1,FOXO1
NBN,MDC1
IFNA2,IFNAR2
FANCL,FANCM
HSPA8,BAG1
CENPX,CENPS
FANCF,FANCG
LMAN1,MCFD2
RAB11A,RAB11FIP3
CHUK,MAP3K14
PCNA,RAD18
CASC3,EIF4A3
TF,TFRC
ARL2,PDE6D
CDKN1B,CCNA2
HCFC1,BAP1
BMI1,CBX4
LEO1,CDC73
CAND1,CUL1
GTF2A1,TBP
DCUN1D1,UBE2M
DDX6,EDC3
TNF,TRADD
GZMB,CASP3
RARA,NCOA1
CHEK1,CDC25C
CDK4,CDKN2D
GRB2,PTPN11
MAP3K1,MAP2K4
RAD51,RAD52
ERCC3,GTF2H1
IRAK1,PELI1
RARA,RXRG
SNF8,VPS36
BBC3,MCL1
UIMC1,UBC
PPIH,PRPF4
RAD9A,RAD17
PPP2R1A,PPP2R5C
MMS19,CIAO1
WWTR1,TEAD4
VPS36,VPS25
PIDD1,CRADD
FADD,TNFRSF10B
ICAM1,ITGAL
PRKN,RHOT1
PRKAR2A,AKAP1
MLH1,EXO1
USP12,WDR20
DAB2,MYO6
HDAC3,NCOR1
CDKN1B,CCND1
TNF,TNFRSF1B
TGFB3,TGFBR2
ERBB3,NRG1
NCOA1,NR1I2
RPA2,XPA
ABRAXAS2,BRCC3
STAT1,STAT2
RARA,NCOR1
CCR1,CCL3
RAD51AP1,RAD51
NEDD4,UBE2L3
MDM2,RPL5
PAF1,CTR9
RAB5A,EEA1
MSH2,MSH3
MAPRE1,MAPRE3
NONO,SFPQ
CDKN1A,CCND2
HDAC2,MTA1
RPTOR,MLST8
LIN9,MYBL2
POT1,TINF2
UPF1,UPF3B
FGF2,FGFR2
IL12B,IL23A
CIAO2B,CIAO1
JAK2,SOCS3
SEPTIN6,SEPTIN2
DCP1B,EDC3
CASP8,TNFRSF10A
SMAD7,SMURF1
SELP,SELPLG
GPS1,COPS2
DNM1,AMPH
IL2RB,JAK1
CREBBP,RELA
TP53,USP7
PYCARD,CASP1
E2F4,TFDP1
PSMD4,UBC
ELOC,CUL2
TNIP1,TNFAIP3
DOK1,RASA1
HDAC1,SAP30
SOD1,CCS
ANGPT1,TEK
MAPK1,MAP2K1
TERF1,TNKS
IL12A,IL12B
ASH2L,SETD1A
FBXW11,SKP1
SKP1,FBXO44
DCP1A,EDC3
CDK8,MED13
ARHGDIA,RAC1
PPP4C,PPP4R3A
BRCA1,ABRAXAS1
KAT7,JADE1
PDCD6IP,CHMP4B
BCL2L1,BID
ARIH1,UBE2L3
BIRC5,AURKB
STAG1,RAD21
FBXL5,SKP1
SUPT16H,SSRP1
NUTF2,RAN
NR3C1,HSP90AA1
TPX2,AURKA
TBK1,AZI2
UBXN2A,VCP
ANAPC4,CDC16
FOXP1,FOXP2
PPP4C,PPP4R1
SELENOS,VCP
DLG4,DLGAP1
ERCC1,SLX4
UPF2,UPF3B
CUL4A,RBX1
CDH2,CTNNB1
RAB27A,SYTL1
NEDD4L,SCNN1A
TRAF3IP2,TRAF6
MAT2B,MAT2A
STAG2,SMC3
NFKB1,BCL3
NEDD4L,SCNN1B
WDR48,USP46
REV1,POLH
GPS1,COPS3
RARA,RXRB
RAD23A,UBC
BRCA1,UBE2D3
GSK3B,MAPT
CTNNB1,CTNNBIP1
CUL2,RBX1
FBXO22,SKP1
CASP3,CASP9
MORF4L1,PHF12
ELP3,ELP1
IGBP1,PPP4C
RAD51C,RAD51D
MASP2,MBL2
CFH,CFI
PSMD4,RAD23A
NUP133,NUP107
IL13,IL13RA1
STX1A,STXBP1
E2F2,TFDP1
RPTOR,RPS6KB1
IKBKB,MAP3K7
HIF1A,HIF1AN
MEF2C,HDAC4
NGF,NGFR
DDIT3,ATF3
TRAPPC3,TRAPPC6A
ABRAXAS2,BABAM2
CXXC1,ASH2L
CDC73,CTR9
GNB5,RGS7
EP300,RELA
NLRP3,PYCARD
CRY1,PER2
CDK9,HEXIM1
MMP14,TIMP2
IGBP1,PPP6C
FANCC,FANCG
BIRC5,INCENP
BCL2,BIK
EGFR,ERBB2
FGF7,FGFR2
GRB2,GAB2
FYN,CBL
PIK3R4,PIK3C3
IL2,IL2RB
RELN,LRP8
ERCC8,ERCC6
NSMCE1,NSMCE3
PRKAB1,PRKAG1
PRKN,PINK1
KMT2C,ASH2L
TIRAP,TLR4
FBXW2,SKP1
IL1R1,IRAK1
COPS3,COPS2
SMAD2,FOXH1
CCNA2,CDC20
SIN3A,HDAC2
STUB1,UBE2D2
PRKAA1,PRKAB1
APH1A,PSENEN
ANAPC4,MAD2L1
MORF4L1,PALB2
UBN1,HIRA
BCL2L11,BAX
PPP6R1,PPP6C
MXD4,MAX
E2F6,TFDP2
GLRX3,CIAPIN1
TINF2,TERF2
AGO2,TNRC6A
CD28,CD86
CDK2,CKS1B
IL1B,CASP1
ERCC3,GTF2H2
PIK3R1,IRS2
PDCD6,PEF1
RPA1,RPA3
TOP3A,RMI1
RICTOR,MLST8
MAP3K3,MAP2K5
LILRB2,HLA-G
FANCE,FANCM
COPS8,COPS3
TAF10,TBP
MED6,CDK8
MTMR9,MTMR6
G3BP1,USP10
TGFBR1,TGFBR2
VASH1,SVBP
SH3GLB1,SH3GLB2
PHC2,BMI1
OIP5,MIS18A
RELN,VLDLR
RAB27A,SYTL4
RCOR1,HDAC1
PRKACA,PRKAR1A
RAN,RANBP1
FBXO3,SKP1
GABBR1,GABBR2
CCNA2,CDK1
FLCN,FNIP2
GRIN1,GRIN2B
GRB10,INSR
STAG1,SMC3
YAP1,AMOT
MTMR9,MTMR7
FANCC,FANCF
TRAPPC3,TRAPPC2L
NR0B1,NR5A1
HEXIM1,CCNT1
BTRC,CDC25A
STK4,RASSF5
KRT8,KRT18
RBCK1,SHARPIN
APC,AXIN1
DAXX,H3-3A
TRAF5,CD40
FBXW11,CDC25A
HDAC1,MTA1
ABCG5,ABCG8
FYB1,LCP2
ERBB3,PIK3R1
STX4,VAMP2
BCL2L1,BIK
CHEK2,CDC25C
CTNNA1,CTNNB1
BCL6,NCOR2
CRKL,ABL1
UBA2,UBE2I
BCL2L1,BECN1
MAPK8,MAP2K4
IFNG,IFNGR1
MTOR,AKT1S1
MLLT1,AFF1
CDC26,CDC16
SNX6,SNX1
TOR1AIP2,TOR1A
USP10,G3BP2
SYK,CBL
TSG101,LRSAM1
RRAGB,RRAGD
BBC3,BCL2
AGO2,TARBP2
ID1,MYOD1
BIRC2,CASP9
DCLRE1B,TERF2
CHMP5,VTA1
UPRT,PYROXD1
RRAGA,RRAGD
CDK6,CCND2
RHOA,ARHGDIA
TNFAIP3,TAX1BP1
DCAF7,DYRK1A
RPA2,RPA3
PCSK9,LDLR
CEP55,TSG101
UFM1,UBA5
USP22,ATXN7L3
POLG2,POLG
CD2,CD58
FKBP1B,RYR2
MAPK8,MAPK8IP1
LEO1,CTR9
CASC3,MAGOH
TAF6,TAF9
FMR1,FXR2
MAPK8,MAP2K7
DLG4,KCNA4
CENPS,FANCM
EZH2,PHF1
ARL3,UNC119
CRBN,CUL4A
STAMBP,CHMP1B
SMARCB1,SMARCC2
CIAO2B,MMS19
GIT1,ARHGEF7
PPP4C,PPP4R3B
VDR,NCOA1
PARD6A,PRKCZ
CXCL1,CXCR2
PRKCI,PARD6B
RING1,PCGF2
STK4,RASSF2
INO80,ACTR5
TNFRSF1B,TRAF2
PHC1,BMI1
PRKACA,PRKAR2B
CREBBP,TP53
NPHP4,NPHP1
PSMC4,PSMD10
ADA,DPP4
JUN,MAPK9
KDM1A,HDAC1
PPP1CC,PPP1R8
CALCOCO2,LGALS8
RND1,PLXNB1
IRAK4,PELI1
RNF2,PCGF2
GAB1,GRB2
GGA1,RABEP1
RAD1,RAD17
AKT1,GSK3B
PPP6C,PPP6R2
CXXC1,RBBP5
TRAF1,TRAF2
DPP3,KEAP1
EXOSC8,EXOSC5
MAVS,IFIH1
TRAF3,MAP3K14
ANAPC10,CDC27
AR,RNF14
MCM2,MCM6
STK3,RASSF5
CCR5,CCL4
UBA6,UBE2Z
ARNTL2,CLOCK
BAD,YWHAZ
MIOS,WDR24
TAF4,TBP
LCK,PTPRC
AKT1,MTOR
U2AF2,U2AF1
EMD,BANF1
E2F2,RB1
