GeneA,GeneB
RASA1,ACTG1
EIF6,ACTG1
CPSF6,PTBP3
PSMD1,CD4
LAMP1,EMC4
SLC25A13,DLST
DLST,TPM4
HDAC6,MFN2
EXOSC3,ZC3HAV1
CNOT10,ZC3HAV1
ZC3HAV1,YTHDC2
MAPRE1,CAMK2G
MAPRE1,CENPO
RPL27A,TOP3B
IMMP2L,SLC25A12
CCL25,C5AR1
OPRK1,C5AR1
NDUFA7,MMGT1
GPC1,PLEC
HSD17B10,MTRF1L
HSD17B10,ARHGDIA
HSD17B10,HNRNPAB
USE1,TRIM27
UBASH3A,TRIM27
TRIM27,LONRF1
TRIM27,MBD2
CCL21,S1PR4
RC3H1,RPS19
FASTKD5,MRPS9
CGAS,MRPS9
H2AC20,H3C6
SCRIB,ACTN2
SCRIB,FASTKD5
KRT40,TCEA2
RRP1B,SRPK3
VPS36,CDC5L
KARS1,NFX1
NR4A1,TCF4
EPB41L3,RHBDD1
KISS1,GNG2
DHX8,FLNA
CRMP1,FLNA
CDK9,HNRNPA2B1
CDK9,CCT5
PDE4D,PLK1
PLK1,FEZ1
MRPL4,MTRES1
EIF2S1,MTDH
LATS2,MET
NPM3,RPL27
RPS15A,SSR4
RPL27,SSR4
MTIF2,CCDC90B
MTIF2,NME4
CLTC,CHMP4B
AGO2,SNX9
AGO2,RMC1
NCAPH,SUZ12
SYNE1,SUZ12
SUZ12,PRDM14
KPNA4,ARRB2
SHMT2,DOCK8
NDUFB10,ITFG1
MARS1,ITFG1
MAP1B,ITFG1
GPR4,GPR17
GPR17,GPR68
GPR17,XPO5
GPR17,GPR132
COPS5,ZEB1
COPS5,PFAS
COPS5,GUCY1A1
OCIAD1,SLC25A1
MRPL13,PDK1
AKT1,PLEKHO1
AKT1,CBLC
PTGER3,GPR55
GNAQ,AVP
GNAQ,NPSR1
ADCY4,AVP
ADCY4,NPSR1
ADCY2,AVP
ADCY2,NPSR1
FPR2,TAS2R14
FPR2,TAS2R10
FPR2,ATP2B2
NPM1,H2AZ2
NPM1,PPIL4
NPM1,ELMO2
RPS14,BMS1
RPL26L1,BMS1
TUBB3,XCL1
EIF5,IKBKE
EIF5,RPS14
EIF5,RPL26L1
MARCKS,PRKN
CRY2,PPP2R2A
ORC6,RPA2
RPA2,MCM8
ZFR,SRSF7
PHGDH,TFCP2
EIF4E,MLST8
GPR182,MLST8
PHB,PLAA
GFPT1,PHB
RPP30,PHB
HLA-B,RARS1
HSPD1,NDUFS3
TMEM201,FANCD2
TRAIP,FANCD2
TUBA1A,SLC25A22
FANCD2,H2BC11
EIF3K,RPL32
CCR9,OPRM1
U2AF2,OTUB2
U2AF2,LAMB3
EMD,TBL1XR1
CSTF3,RBMX
UBE2O,SMG7
RPL39,SMG7
RBBP7,CUL4B
RPTOR,CUL4B
CBX3,SMG6
FFAR1,RAB9A
FFAR1,EIF2B5
FFAR1,TBXA2R
FFAR1,PARL
GNAI3,SUCNR1
GNAI3,PPY
GNA13,SUCNR1
GNA13,PPY
GNA13,CCL27
BET1,RAB9A
CCL27,GNAI3
MDM2,SURF2
FKBP3,MDM2
CENPX,MDM2
SEC11A,RPS4X
DHX36,H1-4
H1-4,ZNF512
H1-4,UTP23
H1-4,PTPN12
PDYN,SAA1
NPBWR2,SAA1
CCR10,SAA1
SAA1,SSTR3
ADCY9,SSTR3
ADCY9,PDYN
ADCY9,NPBWR2
ADCY9,CCR10
NUDCD1,DDX21
OPRD1,ARHGEF1
OPRD1,SIAH1
GNAT3,ARHGEF1
ADORA1,ARHGEF1
ZNRD2,ARHGEF1
PMCH,CXCL12
GRM2,CXCL12
GRM2,PF4
AGTR2,CXCL12
AGTR2,PF4
AGTR2,GNA11
ADORA2A,CXCL12
ADORA2A,PF4
VAC14,BSG
PF4,PMCH
HLA-DQA1,TCTN2
GNA11,PMCH
GNA11,GRM2
RALY,ZNF346
YAF2,SRSF2
P2RY6,CYSLTR2
P2RY6,AUP1
DCTN1,PEX14
PYCR2,FXR2
GRP,P2RY6
UTS2R,P2RY6
UTS2B,P2RY6
CWF19L2,FXR2
MISP,DCTN1
TUBG1,TUBB1
TUBG1,DDA1
TUBG1,ALMS1
L1TD1,RFC4
CCHCR1,DMAP1
AGO1,MRPS23
AGO1,ATP1A1
CTSL,PPP1CC
SRC,H4C6
PCDH20,SRC
MAPK12,SRC
C1QL4,SRC
CFL1,EIF3D
PPP2R1B,CAV1
PPARA,TRIM63
TRIM63,PIAS2
SNIP1,PIAS2
ABI2,AKAP8L
TRIM68,LNX1
E4F1,LNX1
DRAP1,LNX1
NME2,RPS16
H2AC8,RPS16
MRPL10,RPL6
USP20,RIPK1
RPL6,SEL1L
MAP1LC3B,NEK9
CPSF3,PTBP1
MECP2,CCNT1
PRR3,GADD45GIP1
LPAR3,CXCL6
SAP18,DDX3X
FKBP8,INF2
TUBB4B,PCNT
GRM1,PDGFRA
SNF8,UBB
FGF13,RPS3
TOE1,RPS3
PSMB8,CDC23
FAM9B,CDC23
CLK1,SRPK1
SORBS3,CDC23
SRPK1,INO80B
PIK3R5,TAS2R7
PNO1,TRAF6
NUDC,MAP3K3
XRN2,SMN1
NDUFS3,COX5A
ACAD9,SURF1
ACAD9,STOML2
COPE,TSG101
ARHGEF12,HTR1F
ARHGEF12,TAS2R41
PNOC,BDKRB2
OXER1,BDKRB2
GRK2,BDKRB2
CCR8,BDKRB2
BDKRB2,CXCR5
RPLP1,RPS21
APOA1,LAMP2
FASTKD2,LAMP2
GRM8,CCR2
GP5,PRC1
HMGB1,CCAR1
HMGB1,H2AC21
ENO1,RIPK2
SEC61B,SEC22B
SEC61B,NUP35
MARK2,NEDD4L
PPP1R12A,RPN1
OR10H2,GNB1
NDEL1,NUF2
FANCA,AVPR2
RASSF1,ITCH
RASSF1,FGFR3
CIC,NOM1
LMO1,HNRNPM
CSTF1,HNRNPM
RPL10A,RPL41
FKBP5,DICER1
DICER1,SOCS1
PLXNA2,RAC1
FCGR2A,RAC1
RAC1,ARHGAP9
MAPK6,UQCRH
MAPK6,ABCD3
PLCG1,ARHGAP32
MYO1B,MAPK6
COL1A2,LYN
CXCR4,KNTC1
BUB1B,KNTC1
AMER1,PSMA1
PSMD8,CDC25A
PSMD8,UBE2E1
ANAPC5,CDC25A
ANAPC5,UBE2E1
ANAPC5,HECW2
TANK,AIMP2
TANK,PPT1
RNPS1,RANBP10
RNPS1,PCBP3
RNPS1,CDK12
PPP1CA,WDCP
PPP1R21,PPP1CA
PTCH1,CD79A
GNL2,SET
CCR5,GRM6
GRSF1,UPF1
SOD1,SSB
IARS1,OFD1
DYRK1A,PPFIA1
DYRK1A,OPA1
DDX52,CAND1
ANP32B,HSPB1
EEF1AKMT3,RINT1
MRPL9,MRM1
MRPL38,MRM1
NDUFS4,MRM1
MGST3,MRM1
MDH2,MRPL45
DUX4,PSMA6
PSMA6,PSMF1
NDUFA4,TIMMDC1
ARF6,SRP14
RRP8,SRP14
EEF1B2,RPS20
AFG3L2,GATD3A
POU5F1,SERPINH1
NEK6,GFAP
MTNR1B,CXCL11
EIF3E,IGSF8
HADHA,TOMM20
HADHA,NDUFA2
CXCR2,LPAR5
NEDD1,PAFAH1B1
CHRM4,LPAR5
INSL5,CXCR2
INSL5,CHRM4
FBL,HEY1
PARK7,MBD3
PARK7,GEMIN4
STRN4,PCM1
RRS1,RSL1D1
DUSP4,PSMA3
PSMA3,HNRNPLL
HTT,CNOT8
KAT5,NMI
KAT5,GET4
P2RY2,CCL23
NFKB2,DPF2
MEN1,RPA3
PSIP1,RPA3
HSCB,TIAL1
HSCB,PWP2
POT1,NBN
POLR2D,CPSF7
MAP4,SRPK2
HSPA1A,KLHL38
SH3KBP1,SLC25A11
SH3KBP1,KRTAP6-3
TUFM,TNFRSF10A
MRPL46,TUFM
ADCY8,ACKR3
NDC80,PDS5B
REST,RPL38
RPS12,EIF3C
RPL38,EIF3C
KMT2A,TOP1
TNRC6B,CNOT9
RPTOR,UVRAG
KRTAP10-8,TCEA2
PARD3,PSMC3
RNF31,MLF2
DAPK1,PKM
DAPK1,DDX5
PGRMC1,PKM
KRAS,HM13
KRAS,PTPRM
IL2,KRAS
OSGIN1,KRAS
SLC30A7,KRAS
PRMT1,DCP1A
PRMT1,CAPRIN1
RPL19,SRP19
NPS,BDKRB1
CXCL2,BDKRB1
CXCL2,NMUR2
BDKRB1,CCL19
NMUR2,CCL19
NMUR2,NPS
NHLRC2,PRKCD
ADCY6,CCR3
HSF2,BAG3
S1PR1,GNAZ
COX4I1,TEX101
CPT1A,INS
INS,SHC3
CRK,CEP89
MRPS7,TACO1
AMBRA1,PSMA5
CPSF1,NUP85
MRPS27,MRPS7
MRPL2,RPS15
CRYAB,ADAMTSL4
UNC93B1,EIF2B4
ARAF,LARS1
LARS1,UNC93B1
CERS2,UNC93B1
POLR1A,KAT2B
UBR4,UNC93B1
ERLIN2,UNC93B1
TUBB2A,RUNX1
MIB1,CEP290
CSNK1D,CEP290
CXCL10,CASR
SLC25A5,SOAT1
FPR1,GABBR2
FPR1,CXCL10
KIFC3,TRAF2
RPL15,BMS1
EIF5,RPL14
EIF5,RPL15
CENPC,RPL15
GABARAP,KRT5
ORC2,CCNE1
DAXX,CXXC1
LACTB,ESR2
DKC1,NIFK
TCF3,TRRAP
SMAD4,ROCK2
SMAD4,RELB
MCM6,BCR
NDUFS7,ATP5PF
C3AR1,C5
TPT1,SART3
OPRL1,C5
ZNF746,SART3
SUGT1,TPT1
PNMA2,ZNF746
MRPS31,DAP3
MRPS31,ZNF746
FYN,PDE4D
HNRNPA1L2,FYN
NDUFV3,VAPB
MAGEA9,BRCA2
XRCC6,BARD1
NCL,RPL4
NUP88,RAN
EIF6,UPF3B
CXCL13,MTNR1A
MTNR1A,PENK
MTNR1A,RXFP3
MAVS,CDH1
RPL37,EIF3H
EIF2B1,RPS13
RPS13,SPCS2
GAPDH,SEC62
GAPDH,BLK
HDAC5,H3-3A
HDAC5,APPL1
H1-1,CYSLTR2
TSFM,NDUFA7
TSFM,MRPL28
CEBPZ,RPL30
STRAP,AXIN1
ZFP36L2,TRIM14
SF3B6,TRIM14
ELAVL1,CBR4
ELAVL1,STRADB
ELAVL1,UFM1
ELAVL1,SLC39A14
ELAVL1,AP4E1
ELAVL1,SCAF8
ZNF800,ELAVL1
SLC35G1,ELAVL1
CNN2,ELAVL1
C1QL1,ELAVL1
TARDBP,EED
OBSL1,MTMR2
OBSL1,TUT7
PWP1,OBSL1
PRDX4,MAP1LC3A
SMAD2,ELAC2
HUWE1,DDX46
HUWE1,NNT
HUWE1,AHCY
HUWE1,MAPRE2
ERC1,SMAD2
RPL35,MRPL52
NVL,RPL7A
KIF20A,CD59
KIF20A,SPECC1
KIF20A,YARS1
KIF20A,PPP1R9A
RHOB,VAV1
FGFR1,AVPR1B
ITGAV,PRKACA
LARP4,SRSF1
TPR,GBF1
CACYBP,GBF1
MFSD4A,GBF1
NPM3,GBF1
ATP5PB,UQCRFS1
ATP5PB,MTRF1L
CTPS1,PIH1D1
NUBP2,PIH1D1
ANAPC2,PSMD12
YWHAB,FRMD5
YWHAB,PPM1D
YWHAB,SHOC2
RNF11,WDR83
NMU,BRICD5
NMU,ADRA2C
NMU,ADRA2A
NMU,ADRA1A
NINL,PALS1
TBC1D15,CCDC8
POLR2L,TAF10
POLR2L,EXOSC5
DCUN1D1,TXN
SEC24B,GABARAPL1
GABARAPL1,TEX10
GABARAPL1,MTHFD1
PAXIP1,EPB41L3
HDGF,LRRC59
TBK1,NAA10
TBK1,TRAF5
RPS23,VRK1
HSPA8,ARFGAP2
HSPA8,THSD4
HSPA8,WDR5B
GMPPA,HSPA8
ELP4,HSPA8
WDR37,HSPA8
CHMP4B,PWP2
CHMP4B,KIDINS220
CHMP4B,FARSA
GSTK1,MCM7
NSL1,ANXA1
MCM7,VPS35
PLCB2,TAS2R5
PLCB2,S1PR5
ITPR3,TGFB1
ITPR3,PLCB2
TAS2R31,PLCB2
CHRM5,PLCB2
FBLN5,TGFB1
DCPS,EIF2B5
DCPS,MFAP1
H2AX,LLPH
H2AX,SMARCD2
AP1B1,DNM2
DNM2,GRAP2
TSC1,ACTN2
MNAT1,H2BC8
AKAP9,ACTN2
FASTKD5,MRRF
MYBBP1A,NOP53
FLNB,MDC1
CHD4,SDAD1
KNG1,S1PR2
MYO18A,MYO1C
SSTR3,C3
PDYN,C3
NPBWR2,C3
CCR10,C3
CHD3,LAS1L
CHD3,ZC3H13
TRIM69,UBE2D3
OTULINL,INF2
ZBTB38,FXR1
LACTB,RIOK1
CDK7,RFC3
ITGA4,H2AC11
ITGA4,SDHB
TCERG1,ITGA4
BECN1,DZIP3
MLH1,FAM90A1
CALCOCO2,ULK1
NMBR,PIK3CA
HCRTR2,PIK3CA
GNRH2,PIK3CA
DCAF4,CCT3
FGF1,PIK3CA
PIK3CA,ZMYM2
PIK3CA,UFD1
PIK3CA,TAC3
RPL9,EIF5B
DDX6,SMG1
SMG1,RPL9
CTBP1,BCL6
CS,ANKRD55
MAPK14,DUSP6
H1-2,PPAN
UBR5,TUBB6
GNAI2,TAS2R7
SPRED1,AQP1
UBE2E3,UBR5
TUBA1B,LARP7
GRM3,GPR55
PSAP,VCP
KDM3B,VCP
SLC17A2,VCP
VCP,CCNF
CBX6,RBM28
NMS,CCL28
HOOK1,UBXN6
CDK19,NCOR2
PRMT5,TRIP4
PRMT5,SREBF1
PRMT5,UHRF1
FGF8,MAPK3
SYNCRIP,GAPDHS
SYNCRIP,ELAVL2
RPL22,SSR1
EFNB1,PIK3R2
RPL12,INO80B
ANAPC4,PSMB8
AGTR1,GNA15
DRD2,CXCL12
DRD2,PF4
TUBB4A,CEP57
TUBB4A,CCNB2
TUBB4A,TRADD
PSME3,SEC61G
ARL2,VCAM1
ZDHHC23,RNF2
LCLAT1,RNF2
VCAM1,EEF1E1
WDR48,RAD51
FASLG,LCK
IARS1,LCK
CENPN,RPL28
POLE,RPL28
CLP1,DHX9
CLPX,ZDHHC5
ZDHHC5,CLINT1
SCCPDH,SQSTM1
KLHL3,SQSTM1
GAS6,SQSTM1
H2BC1,RUVBL1
ZBTB1,RPL11
GADD45A,BAG6
GADD45A,MTOR
ATXN2L,ATXN3
POLR3A,RUVBL1
ATXN3,CASP7
TGOLN2,NUP188
ALYREF,AAAS
ALYREF,NUP188
PLEC,MYO19
CPSF3,POLR2G
HSPA9,PTPRF
WWP2,KIAA1522
WWP2,TMEM51
WWP2,PCCB
PGAM5,CDC34
PGAM5,SERBP1
EIF4G1,UPF3A
DNM2,SRC
MTRES1,NDUFA12
GOPC,TGFBR2
OXER1,GNAI1
CCR8,GNAI1
GNAI1,CXCR5
GNAI1,PNOC
KIF1B,GOPC
ADCY3,CXCR5
ADCY3,PNOC
ADCY3,OXER1
ADCY3,CCR8
KIFC3,ZBTB16
CSTF2,POLR2F
BIRC3,MLEC
ALDOC,BIRC3
FEM1A,CUL5
TBC1D7,IKBKG
CETN3,IKBKG
CCT5,PCGF6
DNAJB1,TERF1
ERCC4,NEDD8
RPS3A,API5
RPS3A,NMNAT1
RPS2,API5
HNRNPH1,NUDT16L1
HNRNPH1,ZNF146
HNRNPH1,PIK3C2B
MRE11,HNRNPCL2
THAP12,RPL10
MATN2,RPL10
PSMB10,CCND1
PKP3,EED
NCBP1,SRSF1
RACK1,RNF185
PROKR1,PLCB3
RAMP2,PLCB3
LGALS9,USO1
ESYT1,LGALS9
PRDX4,LGALS9
SFN,BAP1
POLR1A,ARRB1
FTH1,ARRB1
ERLIN2,NF2
GART,CUL7
DDX42,CUL7
S100A10,CHMP4C
LMO7,CHMP4C
DDB1,SAP130
RC3H1,UBE2B
CDC40,SNRPD2
EIF2S3,RPS5
NUP50,PTBP3
NUP50,SNRPD2
DUX4,ACTG1
DUX4,RPS5
RPS5,ZNF668
PSMD1,PSMF1
ESPL1,CKAP5
TLN1,MMGT1
RINT1,C5AR1
KNL1,CKAP5
GPR18,C5AR1
SSX2IP,KRT15
CCT2,VRK3
BRD2,SMARCC2
POC5,CALM1
CD109,ECT2
SPTLC1,ECT2
ECT2,ARHGAP45
HSPG2,PDPK1
EEF1B2,RPS15A
EEF1B2,RPL27
AFG3L2,MTIF2
MECOM,EIF3D
MECOM,NUP133
MECOM,SMAD1
KIF2C,NUP133
APBB1,COPS2
ALB,APOA1
TICAM1,IKBKB
PAK5,AURKA
MOSPD2,PTPN1
AURKA,CALU
PTPN1,TBC1D15
HDAC3,MED27
NOS3,HDAC3
NIPBL,HDAC3
RNF2,UBE2D1
NUP88,RBM8A
LACC1,LMNA
STARD3,LMNA
RPL24,IGSF8
HNRNPUL2,DHX30
DHX30,TOP3B
DHX30,OGDH
TEFM,IMMP2L
MRPL2,LIN28A
EBNA1BP2,MRPL11
NDUFA5,TCTN2
SRSF2,POM121
PMCH,PPBP
GRM2,PPBP
AGTR2,PPBP
DBN1,PPT1
ADORA2A,PPBP
PTPN11,CD3E
PTPN11,TLR3
NCL,CD3E
NCL,PTPRR
RNF168,NCL
SYT6,PTPN11
MPG,USP7
CREBBP,NR5A1
AP2M1,ACACA
STUB1,EVC2
STUB1,MAP3K2
LOX,CBL
POLR2C,DDX23
POLR2C,NMRAL1
POLR2K,LSM2
MEPCE,ANP32A
MEPCE,POTEI
MYL6B,MEPCE
PHB2,LGALS3BP
PHB2,STOM
SLC25A41,HSPD1
HSPD1,NDUFAF5
MRPS5,PMPCB
CXCL2,OPRM1
RPL32,PRPF3
OPRM1,CCL19
NMB,PIK3CG
PLCB1,NMB
ESR1,RBBP6
ESR1,UNC45A
DCAF8,RAF1
PACSIN3,RAF1
GTF2F2,HNRNPH2
SEC13,SLC25A46
NUP160,SLC25A46
PSMA5,CUL1
SLC25A22,AURKB
CDK5RAP2,SIAH1
NUMA1,ARHGEF1
CCR3,ARHGEF1
PURA,SNAI1
TAB3,SNAI1
RAB10,SNAI1
FUS,PHF10
MRPL20,SRSF5
SP100,GADD45GIP1
ATP1A3,GRWD1
EEF1A2,GRWD1
LPAR3,ACKR3
COX15,IRS4
COX15,ATP2A3
FKBP15,MCM2
RAB21,MCM2
LANCL1,MCM2
MCM2,DCAKD
MCM2,C4A
MCM2,ACTR3B
MCM2,TCP11L1
MCM2,MYH8
EIF1AX,RPL27A
STRAP,SNRPD3
SRRM1,ZC3H10
NAPA,KSR1
SNAP23,KSR1
HAX1,SLC25A12
YARS2,PDK1
SPG21,CCHCR1
CCNT1,MED26
GRK5,USP9X
GRK5,P2RY2
NUDC,KIF2A
SHARPIN,MED12
CASC3,DICER1
CCR5,MCHR2
CCR5,PPIA
CEP135,CEP170
DICER1,GNL2
PPARG,PBRM1
MKI67,PI4KA
MKI67,NF1
CGN,LZTS2
ZC3H3,RPS24
SMARCD1,CCDC33
FSD2,HDAC4
XIAP,UBE2E2
SNRNP70,PAXBP1
MYL1,SNRNP70
DMD,PICK1
AP2S1,PICK1
EXOC5,WFS1
CCT4,GANAB
RPL7A,RPL13
MAPK1,PTPRC
CUX1,STAT3
SPRY1,STAT3
EEF1A1,HSPA8
CTCF,SET
SIRT7,YLPM1
CRNKL1,SIRT7
KIF4A,SIRT7
XPOT,SIRT7
MPHOSPH10,SIRT7
GNA13,F2
F2,FFAR1
POLR2D,SNRPB2
FTSJ3,NEIL1
BRD4,USP48
BRD4,H2AC14
BRD4,KANSL3
BRD4,CMPK1
BRD4,NOSIP
RBM34,ABT1
MRPL28,ABT1
CLIC1,ATG16L1
HCAR3,LPAR2
TDRD3,SMG7
HRH4,LPAR2
HCAR2,LPAR2
HTR1D,LPAR2
OXGR1,LPAR2
TAS2R19,LPAR2
FPR3,LPAR2
CXCR6,LPAR2
SMARCB1,TFAP4
FMR1,ZBTB38
CDKN1A,KRT31
C1orf54,RPL23
RPL10,RPL19
RNH1,SOX2
TAF6L,SOX2
SOX2,NCAPD2
SNRPA,MAFB
CXCR2,P2RY12
TES,TUBB2A
NEDD1,DUSP16
CHRM4,P2RY12
CHRM4,HTR1B
HTR1B,CXCR2
ZWINT,NEDD1
TCP1,NIPSNAP1
CCT7,NIPSNAP1
PCK1,TCP1
HK1,APP
GNAZ,CXCL9
PDIA3,CDC25A
CCAR2,MAGED1
SSNA1,CCNB1
GADD45A,CCNB1
FPR2,TAS2R5
FPR2,S1PR5
FPR2,TAS2R31
CHRM5,FPR2
TUBGCP3,MRPS7
RPS6,ZFP91
RRP15,RPS6
TNS2,SEH1L
CRYAB,SEH1L
TPM4,USP14
TPM4,IQGAP1
PPP3CA,USP14
ABI2,STX4
FFAR2,CCL23
SUGT1,SETDB1
PNMA2,TRMT61B
MRPS31,TRMT61B
NCOA3,MED20
NCOA3,MED21
CCL23,C5
ADORA2B,C5
GEM,TCF4
NFX1,SART1
NFX1,MRPL27
RPL13A,SRP19
NPW,BDKRB2
TRIM29,TRIP6
CHRM2,BDKRB2
BDKRB2,CCL20
PSMD11,CCDC90B
TADA2B,KIF23
SPECC1,KIF23
MRS2,KIF23
KIF23,CD59
GNA13,ANLN
HEY1,TUBA4A
ELAVL2,ILF3
NR3C1,HMOX2
SRSF6,NMNAT1
EIF3F,EIF2B5
RAD23B,UBA1
PSME2,CDC23
PPIL1,H3C1
PWP1,H3C1
FAN1,PPP2R1A
IST1,CDH1
ARHGAP18,CDH1
GPATCH4,ZC3HAV1
APOBEC3C,ZC3HAV1
VCL,CAV1
ATP5F1D,TRIM63
SAP18,SNIP1
PIK3R6,P2RY1
PDGFRA,STAT5A
DDX28,METTL17
PTCD3,GFM1
PTCD3,HINT2
TRIM33,RUNX1
CNTRL,MIB1
CNTRL,CSNK1D
A2M,ARHGEF2
A2M,S100B
A2M,STX17
CSNK1D,S100B
SH2D3A,YWHAQ
YWHAQ,INAVA
YWHAQ,PPP3CC
CDK4,SLBP
EPAS1,EIF3E
ADARB1,PPP2CB
RNF41,MTNR1B
MTNR1B,GAL
EIF3E,RPS4Y1
GFAP,TXN
GDI2,NDN
NDN,VDAC2
ANKHD1,HIF1AN
CNOT10,HIF1AN
IL2,PIK3R1
SIK2,PIK3R1
FCER1A,PIK3R1
PIK3R1,ADAMTS2
KRT40,ING5
DDX3X,G3BP2
UBE2E3,USP15
GRM1,SYK
ECPAS,PSMA2
VAV3,SYK
MTFR1L,XPO1
BCAS3,XPO1
MAGEA10,XPO1
TEDC1,XPO1
ZNRF2,XPO1
XPO1,RIOK3
HNRNPL,SCP2
HNRNPL,ERGIC1
HNRNPL,ITPKB
HNRNPL,INPP5A
HNRNPL,SH3RF3
FOXP4,HNRNPL
SGK2,HNRNPL
SMG9,RPL5
RPL21,RPS29
LMNB1,YY1
UBQLN2,VRK3
RTRAF,BMI1
AAR2,RUVBL1
EIF3K,RPS20
G3BP1,ZC3H14
G3BP1,MTHFD1
G3BP1,IK
G3BP1,ASCC3
RPS4X,CCK
CMTR1,RPS4X
MRPL42,MRM1
WDR5,PELP1
BCAP31,VAPA
ARHGEF12,RPS6KA3
ARHGEF12,HTR5A
SNW1,SRSF7
BLOC1S6,NTAQ1
TP53BP1,GTF3C4
MTUS2,PKN1
HSPB2,SNCA
DCP2,SNCA
NOTCH2NLA,XCL2
RPL8,BMS1
DLST,NDUFB11
DLST,LBR
DLST,TPX2
LBR,CD81
EIF5,RPL8
PCGF6,CCT6A
MRPS24,DAP3
GABBR1,C3AR1
GABBR1,OPRL1
AHSA1,DAP3
AHSA1,ZNF746
PSMA6,DERL1
NDUFA4,FIS1
FIS1,EMC2
PSMC4,KXD1
ADCY6,CXCL5
ADCY6,CXCR3
CRY2,RPS17
PEX5,SDHA
VWA8,TRIM21
VWA8,MRPS35
VWA8,PEX5
DKC1,FGFBP1
ADCY1,CCL21
ADCY1,PRKAR2B
EXOSC8,ATF2
ENO1,KRT17
ATF2,ATP2A2
KCMF1,RPL13
RPL13,TENT4B
HNRNPK,ATP5IF1
HNRNPK,CTNNBL1
GABARAPL2,TEX264
EIF5A,ACTC1
NDUFS7,NGRN
SOD1,UCHL1
PSMB8,SOD1
CNR1,BDKRB1
CNR1,NMUR2
ZNF835,RBX1
SMU1,CUL4B
RPRD1A,HGS
EDA,EIF4A3
SEC23B,EIF4A3
SRP72,SURF6
EMC1,HLA-A
PPP1CB,SVIL
SIRT1,DDX56
PRPSAP2,CDC42
RAB35,CDC42
MAGEB2,RBM28
FPR1,CCL28
HNRNPA3,DHX38
HNRNPA3,PABPN1
HNRNPA3,ICAM1
CCL28,CASR
ATP5PD,UBL4A
ATP5PD,SLC25A5
RBM22,BCAR1
GNG5,BCAR1
CLIC1,BCAR1
ARPC1A,BCAR1
FGFR3,IFT20
MRPL39,PAN2
CNOT3,PAN2
FARS2,RPS10
RPS10,HELZ2
GRB2,ITPR3
HSPA1B,YES1
YES1,GAB2
YES1,PIK3R3
JAK2,GAB2
DNM1L,HSPA1B
DNM1L,DDX19B
SHTN1,YWHAG
LPIN1,YWHAG
EPN2,YWHAG
ECT2,SNRNP200
RPS26,H3C6
SF3B1,RBM39
NCSTN,ATP5F1A
UBR4,UBE2L3
RIPK4,GTF3C3
RIPK4,ERBIN
PRMT1,MEX3B
MYL6,OCRL
MEF2D,MOV10
CHP1,MOV10
MOV10,RELT
MOV10,SLC25A19
MOV10,ERAP1
H2AC8,RPL26L1
MRPL52,RPL26L1
TUBB3,NRG1
HDAC1,ZFP64
HDAC1,PHF20L1
SYNCRIP,HNRNPU
POMC,CXCL12
NMUR1,CXCL12
NMUR1,PF4
NMUR1,GNA11
VAC14,TRIM55
PF4,POMC
GPR17,EIF2B3
GPR17,GPR65
RPS19,ZKSCAN8
CHUK,GLI1
KNOP1,RPS19
FLII,TNF
FLII,FLNA
FBXO6,PIGS
XRCC6,CDK5RAP1
S100P,IQCB1
GRM7,GPR55
DBNL,PINK1
BCL9,TRIM25
FKBP10,TRIM25
DCXR,TRIM25
GLO1,TRIM25
FBXO46,TRIM25
HSPA12B,TRIM25
ESCO1,TRIM25
TRIM25,SERTAD2
TRIM25,GPRC5A
TRIM25,MRI1
TRIM25,NAA25
TRIM25,FKRP
ISG15,NUP93
SNRPG,NUP93
CPSF3,SNRPG
NEFL,CCNC
SSUH2,RAB5A
GNL3,RAB5A
HTRA4,RPL35A
APLNR,TAS2R42
CDC40,UPF3B
CDC40,POLR2B
EIF2S3,UNK
EIF2S3,RPS7
CCR7,MTNR1A
NUP50,UPF3B
DUX4,ILF2
CDC16,PSMF1
MTNR1A,HEBP1
ILF2,CDC40
CSTF2,PRPF4
LRRC59,RIN3
LRRC59,SRP68
TUBA1B,RIN3
PCBP2,UBC
MCM5,UBA52
BCL2L1,BLK
RPL6,DST
STRBP,RPS16
FGF2,RPL6
ARRB2,MRPL43
DHX8,SHMT2
DHX8,ARRB2
EMILIN1,ARRB2
PDCL,CANX
HAL,CANX
CANX,POMK
NUP107,ESPL1
TSFM,MRPL9
TSFM,MRPL38
TSFM,NDUFS4
KNL1,NUP107
MGST3,NUP107
PSMD14,FARSA
CCDC137,RPL10A
PTP4A3,HNRNPM
MRPL51,RPS8
ZBTB1,RPS8
RPS8,H2AB3
HNRNPC,KPNA5
MRPL2,TBRG4
COPS6,SAT1
P2RY6,HEATR1
BMP4,FXR2
TNPO1,P2RY6
RPL4,TAF1A
BIRC5,RANGAP1
ITGB1,VTN
DDX5,KCTD10
TRAF3IP1,PKM
RIPK3,DDX5
CAPRIN1,WDR77
GBF1,AP1M1
LYAR,BRD3
RRP8,LYAR
OIP5,POLR2J
LIG4,ATM
PRDX3,MRPS26
DDB2,EP300
KRT13,CUL2
KRT10,CUL2
INTS6,NCBP1
CSTA,CUL2
NSUN2,SUMO2
PPP2CA,TBCD
CDK8,PCF11
CDK8,PCK1
FLNB,MAPK8
HECTD1,PDHA1
EXOC5,UNC93B1
PPM1B,MAP3K7
