Module	Module_genes	Coherence	TFs_regulators	Metabolites_regulators	Top_3_pathways_molecular_function	Top_3_pathways_cellular_component	Top_3_pathways_biological_process	Top_3_pathways_Reactome	Top_3_pathways_KEGG	PPI_FDR	PPI_fold_enrichment	MetGene_FDR	MetGene_fold_enrichment	MetGene_N_interactions	Functional_Cluster	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Expression_rank	Expression_adjusted_pval
33	NR4A1|FOS|EGR1|ATF3|SRF|NR4A2|RGS1|FOSB|EGR3|JUNB|NR4A3|JUN|CSRNP1|EGR2|KLF6|CREM|KLF4	0.7843239692962358	EGR2|JUNB|FOS|KLF6|NR4A3|EGR1	creatinine|Unknown_021	Sequence-Specific DNA Binding (GO:0043565)|Double-Stranded DNA Binding (GO:0003690)|DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)|Transcription Factor AP-1 Complex (GO:0035976)	Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)|Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)	NGF-stimulated Transcription|Nuclear Events (Kinase and Transcription Factor Activation)|Signaling by NTRK1 (TRKA)	Human T-cell leukemia virus 1 infection|Osteoclast differentiation|Hepatitis B	2.431755889611499e-128	65.82819013869589	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	94	0.13832631248942695
86	HIVEP3|NR2F6|SKI|NR1D1|ZNF592|SIX5|ATF7|MEF2B|IRF3|NR1H2|CIC|NFIC|ZNF837|ZNF581|NFAT5|PLAGL2|ZNF787|ZFHX3|ZNF579|ZBTB7A|MEF2D|IKZF4|RFX1|NACC1|FOXJ2|KLF16|RREB1	0.6115445071538169	ZBTB7A|NFIC|SKI|ZNF592|PLAGL2|ZNF449|CREB3L1|CIC	Unknown_050	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	Intracellular Membrane-Bounded Organelle (GO:0043231)|Nucleus (GO:0005634)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)|Negative Regulation of DNA-templated Transcription (GO:0045892)	Nuclear Receptor Transcription Pathway|Myogenesis	Apelin signaling pathway|cGMP-PKG signaling pathway|Circadian rhythm	3.3963896685883495e-14	7.776243710359461	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	95	0.15798112359649671
73	PHOSPHO1|CXCR1|CEACAM4|ALAS2|NFE2|HBA1|FCGR3B|PF4|PPBP|HBB|HBA2|TUBB1|APOBEC3A|IL1RL1|IL1R2|IL18RAP	0.8097730642365681	NFE2|ATMIN|CEBPD	Unknown_021	Cytokine Receptor Activity (GO:0004896)|CXCR Chemokine Receptor Binding (GO:0045236)|Chemokine Activity (GO:0008009)	Endocytic Vesicle Lumen (GO:0071682)|Platelet Alpha Granule Lumen (GO:0031093)|Tertiary Granule Lumen (GO:1904724)	Neutrophil Chemotaxis (GO:0030593)|Neutrophil Migration (GO:1990266)|Granulocyte Chemotaxis (GO:0071621)	Chemokine Receptors Bind Chemokines|Erythrocytes Take up Oxygen and Release Carbon Dioxide|Erythrocytes Take up Carbon Dioxide and Release Oxygen	Cytokine-cytokine receptor interaction|Viral protein interaction with cytokine and cytokine receptor|African trypanosomiasis	2.04823415083937e-12	13.647307711680853	NA	NA	NA	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	97	0.2719917204428926
8	SLC9C2|DCDC1|CFAP54|RSPH4A|DNAH6|ANKRD45|NEK5|DNAI1|DNAH5|EFHC2|ZMYND10|CFAP43|RSPH1|VWA3A|LRRC74B|FOXJ1|VWA3B|MAK|DNAAF3|MORN5|DRC1|PRR29|TEKT1|CFAP52|CCDC65|DRC7|ZBBX|CFAP126|ROPN1L|WDR93|C7orf57|HYDIN|DNAAF1|CFAP57|SPEF1|SDR42E2|C6orf118	0.8428715934368757	FOXJ1|ZNF396|ZNF169	N_formylglycine|L_serine	Potassium:Proton Antiporter Activity (GO:0015386)|Sodium:Proton Antiporter Activity (GO:0015385)|Solute:Potassium Antiporter Activity (GO:0022821)	9+2 Motile Cilium (GO:0097729)|Motile Cilium (GO:0031514)|Sperm Flagellum (GO:0036126)	Cilium Movement (GO:0003341)|Axoneme Assembly (GO:0035082)|Axonemal Dynein Complex Assembly (GO:0070286)	Ion Channel Transport|Stimuli-sensing Channels|Transport of Small Molecules	Amyotrophic lateral sclerosis|Huntington disease	2.8189829768667594e-20	6.721196590737718	1.0	0.0	0	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	98	0.2978435204907211
36	DTHD1|TCF7|BAIAP3|MYO7B|DLEC1|FREM1|CCDC39|DNAH9|KIAA2012|TTC29|DNAAF3|C8orf34|ZNF648|ZNF487|ZNF396|DNAH2|FRMPD2|ANKUB1|DYNLRB2|ZNF165|ZNF19|NR1I2|GMPR|EXPH5|DNAI2|MAPK15|EFCC1|C10orf105|C2orf50	0.6557253304495013	FOXJ1|GRHL1|ZNF19|ZNF487|FOXP4|ZNF165|CREB3L4|MEIS1	Unknown_002|N_formylglycine|Unknown_013|D_glucose_6_phosphate	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	9+2 Motile Cilium (GO:0097729)|Cilium (GO:0005929)|Sperm Flagellum (GO:0036126)	Cilium Movement (GO:0003341)|Axonemal Dynein Complex Assembly (GO:0070286)|Motile Cilium Assembly (GO:0044458)	Binding of TCF LEF CTNNB1 to Target Gene Promoters|MITF-M-dependent Gene Expression|RUNX3 Regulates WNT Signaling	Amyotrophic lateral sclerosis|Huntington disease|Pathways of neurodegeneration	0.0099751834629295	2.6891246722523854	1.0	0.0	0	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	99	0.3069995614312847
41	NFATC1|SKI|NR1D1|ZBTB4|ZNF592|ATF7|SMAD3|SP2|MLXIP|NFIC|FOXK1|CASZ1|ZNF142|MNT|PLAGL2|PPARD|NTN5|RELA|ZFHX3|CRYBB3|MEF2D|RFX1|FOXJ2|RREB1|FOXP4|MTF1	0.6704593008089184	ATF7|NFIC|SP2|SKI|FOXJ2|ZFHX3|MNT|ZNF319|RREB1|FOXP4	Unknown_035|hypotaurine	FMN Binding (GO:0010181)|GTP Binding (GO:0005525)|Interleukin-1 Binding (GO:0019966)	RNA Polymerase I Complex (GO:0005736)|RNA Polymerase II, Core Complex (GO:0005665)|RNA Polymerase III Complex (GO:0005666)	Peripheral Nervous System Development (GO:0007422)|Galactolipid Biosynthetic Process (GO:0019375)|Galactosylceramide Biosynthetic Process (GO:0006682)	Glycosphingolipid Biosynthesis	Ether lipid metabolism|Sphingolipid metabolism	2.3220739413533497e-11	7.054608294038103	1.0	0.0	0	Cluster_2	Cluster_2	myelination	GO:0042552	rrvgo_parentTerm	100	0.3305634180392012
34	BATF2|OASL|CXCL11|MAX|IFI44L|IRF7|ZNF217|TGIF1|ISG15|RUFY4|ETV6|HSH2D|IFIT1|IRF1|PLSCR1|STAT1|SP110|IFITM1|APOL1|CXCL9|GBP5|STAT2|MX1|IFI6|RSAD2|SP140L|SP100|ZBP1|MX2|ETV7|IFI27|IRF9|IRF2|CXCL10|SIGLEC1	0.7416866037825514	IRF7|SP110|PLSCR1|SP100|ZNF511|STAT1|ETV7|VENTX|RELB|KLF11	galactitol|L_alanine|DL_isoleucine	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|CXCR Chemokine Receptor Binding (GO:0045236)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)	Defense Response to Virus (GO:0051607)|Negative Regulation of Viral Process (GO:0048525)|Cellular Response to Type I Interferon (GO:0071357)	Interferon Alpha Beta Signaling|Interferon Signaling|Cytokine Signaling in Immune System	Hepatitis C|Influenza A|Human papillomavirus infection	5.975242417154143e-254	37.616108650683366	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	101	0.33125854245957026
67	E2F7|VASH2|ZNF668|PBX4|CYP3A5|USF1|CDC42BPG|ZNF878|ZBTB17|ZBTB48|ZNF511|JUND	0.6256077942912465	USF1|ZBTB17|MAZ|ZBTB38|ZNF672|ZNF878|E2F1|HES4	phosphoenolpyruvic_acid|scyllo_inositol|DL_isoleucine	Transcription Cis-Regulatory Region Binding (GO:0000976)|RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	Transcription Factor AP-1 Complex (GO:0035976)	Positive Regulation of DNA-templated Transcription (GO:0045893)|Regulation of DNA-templated Transcription (GO:0006355)|Regulation of Transcription by RNA Polymerase II (GO:0006357)	ESR-mediated Signaling|Estrogen-dependent Gene Expression|TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	Metabolism of xenobiotics by cytochrome P450|Retinol metabolism|Steroid hormone biosynthesis	0.199522600535293	3.3084382331347526	1.0	2.3650234741784035	1	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	102	0.3959496921557955
70	SLC9C2|DCDC1|CFAP54|DTHD1|RSPH4A|DNAH6|ANKRD45|NEK5|DNAI1|DLEC1|DNAH5|EFHC2|ZMYND10|CFAP43|RSPH1|VWA3A|LRRC74B|FOXJ1|VWA3B|TTC29|MAK|C8orf34|ZNF487|MORN5|DRC1|PRR29|TEKT1|CFAP52|CCDC65|ANKUB1|DRC7|ZBBX|DYNLRB2|CFAP126|ROPN1L|ZNF165|WDR93|EXPH5|IGSF5|C7orf57|HYDIN|DNAAF1|CFAP57|SPEF1|SDR42E2|C6orf118	0.8086398932273015	FOXJ1|RORB|POU6F2	N_formylglycine|D_glucose_6_phosphate|D_fructose_6_phosphate|fumaric_acid	Potassium:Proton Antiporter Activity (GO:0015386)|Sodium:Proton Antiporter Activity (GO:0015385)|Solute:Potassium Antiporter Activity (GO:0022821)	9+2 Motile Cilium (GO:0097729)|Sperm Flagellum (GO:0036126)|Motile Cilium (GO:0031514)	Cilium Movement (GO:0003341)|Axoneme Assembly (GO:0035082)|Cilium-Dependent Cell Motility (GO:0060285)	Intraflagellar Transport|Ion Channel Transport|Stimuli-sensing Channels	Amyotrophic lateral sclerosis|Huntington disease|Pathways of neurodegeneration	9.120691744322375e-14	4.324943893170357	1.0	0.0	0	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	103	0.4624654954164336
74	HS6ST2|TSHZ2|F11|OR52K2|FAM90A1|CAPN9|SMIM5|NT5E|SLC9C1|C1orf94|LRCOL1|OVCH1	0.5078596564926101	ZNF93|ZNF83|MSC|ZNF880	NA	5'-Nucleotidase Activity (GO:0008253)|Calcium-Dependent Cysteine-Type Endopeptidase Activity (GO:0004198)|Heparan Sulfate Sulfotransferase Activity (GO:0034483)	Bounding Membrane of Organelle (GO:0098588)|Golgi Membrane (GO:0000139)|Nucleus (GO:0005634)	AMP Metabolic Process (GO:0046033)|Leukocyte Cell-Cell Adhesion (GO:0007159)|Nucleic Acid Metabolic Process (GO:0090304)	Defective F9 Activation|Defective Factor IX Causes Hemophilia B|Pyrimidine Catabolism	Glycosaminoglycan biosynthesis|Nicotinate and nicotinamide metabolism|Pyrimidine metabolism	1.0	0.0	NA	NA	NA	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	104	0.7776660573206393
